case_uid,is_published,k1_test_03_24,k1_test_04_24,k1_naostro_05_24,k2_setkani10_04_25,k2_anotace40_04_25,k2_final351_06_25,k3_zacvik_26,k3_pilot1_26,k3_pilot2_26,k3_final_26,llm_anotace_matice_08_24,hf_publikovano_en,n_udalosti_lidske,n_anotaci_lidske
exp1,true,2,0,1,0,0,0,0,0,0,0,1,1,2,3
exp10,true,2,0,1,0,0,0,0,0,0,0,1,1,2,3
exp100,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1002,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1004,true,0,0,2,0,0,12,0,0,0,0,2,2,2,14
exp1005,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1006,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1007,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exp1009,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp101,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1012,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1015,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1016,true,0,0,0,0,0,12,0,0,0,0,1,1,1,12
exp1018,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1019,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1020,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1021,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1022,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1023,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1024,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1025,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1026,true,0,0,0,0,0,12,0,0,0,0,1,1,1,12
exp1027,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1028,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1029,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1031,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1033,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1034,true,0,0,1,0,8,12,0,0,0,0,1,1,3,21
exp1035,true,0,0,1,0,8,0,0,0,0,0,1,1,2,9
exp1036,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1037,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1038,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exp1039,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp104,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1040,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1042,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1043,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1044,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1045,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1046,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1047,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1048,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1053,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1054,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1056,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1058,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1059,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp106,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1060,true,0,0,1,0,8,12,0,0,0,0,1,1,3,21
exp1061,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exp1062,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1063,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1065,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1067,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1068,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1070,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1071,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1072,true,0,0,1,0,8,0,0,0,0,0,1,1,2,9
exp1073,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1075,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1077,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1079,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exp1084,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1085,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1088,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1089,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1090,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exp1091,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exp1092,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1093,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1094,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1095,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exp1096,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1099,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp11,true,2,0,1,0,0,0,0,0,0,0,1,1,2,3
exp110,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1100,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1101,true,0,0,6,0,0,0,0,0,0,0,6,5,1,6
exp1103,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1104,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1105,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1107,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1108,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1109,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp111,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1111,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1113,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exp1115,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1118,true,0,0,5,0,0,0,0,0,0,0,5,5,1,5
exp1119,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1120,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1121,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1123,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1125,true,0,0,5,0,0,0,0,0,0,0,5,5,1,5
exp1126,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1127,true,0,0,5,0,0,0,0,0,0,0,5,5,1,5
exp1128,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1129,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp113,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1130,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1133,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1134,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1136,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1137,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1138,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1139,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp114,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1140,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1141,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1144,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1145,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1147,true,0,0,1,0,0,12,0,0,0,0,1,1,2,13
exp1148,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1149,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp115,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1151,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1152,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1153,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1154,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
exp1155,true,0,0,1,0,0,0,0,0,0,0,1,1,1,1
